subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail
sub-7447784	L	52.99841178953648	362.5076552033424	518.5400163978338	846.4190796911716	270.6955917328596	630.2033368349075	620.9073191136122
sub-7447784	R	65.99802222847939	338.9898414462805	560.0202548354864	926.3055746108294	344.8415179401636	700.2382751256227	688.0164191573858
sub-9745500	L	74.84961635246873	437.2832361571491	623.5739685930312	898.6027914695442	251.2147193066776	681.3870567306876	659.350677844137
sub-9745500	R	55.96129159256816	379.43311208859086	610.2039975374937	930.7129435613753	232.06714303046465	676.7946012988687	693.497806135565
sub-7698204	L	89.77508747577667	363.5816970914602	458.57885029912	705.9788438379765	226.91912581026557	551.2797760218382	482.5410951822996
sub-7698204	R	77.182872235775	354.2486434429884	453.72714383900166	665.9430065602064	211.03071305155757	530.5026208758354	543.317051678896
sub-6363167	L	59.96115403622389	457.0232494175434	570.7975948154926	757.3845583945513	185.6981015056372	632.1661138013005	547.0205343514681
sub-6363167	R	43.406097918748856	331.21223010867834	591.8710331395268	937.0087690651416	251.3998230993748	700.4233138561249	864.9368692785501
sub-7625176	L	74.701435059309	324.76791474223137	482.9112601578236	649.1284344494343	226.95607042312625	566.7976014614105	558.1682339012623
sub-7625176	R	55.442760676145554	274.9546127319336	463.6896216869354	788.3834646046162	306.39810225367546	634.7585004866123	575.0195739865303
sub-9572797	L	85.55299177765846	332.4344823360443	540.0208541601896	782.9395005106926	219.2526888847351	533.7247465401888	554.7611531764269
sub-9572797	R	82.81233316659927	331.5085841566324	524.0213336199522	671.9798626899719	202.1050546020269	486.392831608653	608.6113912910223
sub-8699817	L	52.77619091793895	391.24749533832073	583.3898662030697	710.015688482672	258.4737097658217	632.832824010402	650.5359954200685
sub-8699817	R	37.1099952980876	348.915434833616	599.0930977463722	833.9008524268866	273.5473306104541	613.3148923516273	697.1271871216595
sub-8858912	L	55.73907600715757	429.39458287507296	564.1683354265988	693.5718779973686	185.4018700942397	621.8703157715499	610.8706442937255
sub-8858912	R	60.77596260979772	419.2467378079891	566.1682756952941	787.1616753861308	198.6236974261701	610.3521412611008	591.019385330379
sub-7777200	L	49.73926520720124	388.0255261175335	509.94783517345786	748.9777812995017	240.65952741354704	644.9808664061129	539.0210467800498
sub-7777200	R	42.25800566002727	318.5090698301792	488.4299549907446	769.3105114549398	228.62284744903445	579.0939320772886	502.6517553180456
sub-8001042	L	53.590986624360085	403.02495953440666	534.5395369380713	650.647168636322	159.7729898393154	496.0221726745367	519.2807349413633
sub-8001042	R	41.29505880177021	357.17448168993	496.1332804560661	708.978753939271	197.512599632144	544.2059139311314	523.2435791492462
sub-9198294	L	85.03449735045433	411.0617970786989	482.4670718573034	585.9824987277389	187.73513374105096	502.7257260605693	455.0975189208984
sub-9198294	R	40.035841304808855	324.39771876856685	458.02335746213794	707.3122083619237	196.77190088108185	558.7240535840392	489.6890783831477
sub-7307768	L	37.66553793847561	336.13807505369186	536.5765129327774	735.7557292878628	224.36364683508876	603.2041459232569	678.757437363267
sub-7307768	R	37.51739422976971	288.95430383086205	527.3916029930115	801.5685718804598	253.2146341055632	570.3903144448996	605.241121917963
sub-8517582	L	50.47996874153614	475.50426901876926	633.6476780623198	757.6069263219833	203.73463539779183	687.0905209779739	634.832827731967
sub-8517582	R	35.81374157965183	360.1743917912245	636.4624085277319	909.0468325465918	279.25089091062546	698.3494428396225	650.5730967819691
sub-6686191	L	61.99814209342003	355.8782242387533	488.9112746566534	739.7926453500986	224.80807796120644	600.5375591665506	558.1684584766626
