subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail	SRLM	Cyst
sub-7130957	R	0.4243850708007812	288.45787048339844	352.1537780761719	590.6391143798828	131.01577758789062	376.1482238769531	331.2349319458008	596.4374542236328	9.65118408203125
sub-7447784	L	6.022452131845057	254.9743154346943	339.26480342727154	488.60540383681655	75.75987289845943	446.1049162270501	193.5290912296623	532.660380278714	7.872579944320023
sub-7447784	R	0.2431869031861424	212.06851631961763	309.2145315865055	548.7774730781093	155.5299455141649	440.6928155384958	295.6103701200336	574.2930244300514	11.749265283346176
sub-9745500	L	8.625977452844381	330.10933835431933	420.2219541110098	621.5329082868993	133.81470716372132	494.4797467440367	361.647323358804	605.635169852525	16.174303770065308
sub-9745500	R	0.2002714499831199	333.9049591682852	442.3328758627176	618.5812885835767	148.1579576767981	451.8028544262052	354.03700825944543	619.1439559906721	5.726809795945883
sub-7698204	L	9.17910902062431	312.1373903844505	308.847216241993	406.3651168034412	78.75913958111778	334.6202470245771	209.18354993546384	462.95611205371097	3.933903865981847
sub-7698204	R	0.5435939887538552	237.0355893066153	316.8866852335632	431.127253501676	165.42900220910087	331.04397078277543	308.7709223488346	454.077410237398	14.01423449954018
sub-6363167	L	2.6273742811754346	269.508519731462	329.66633085906506	489.6977432919666	130.21953583415598	519.9435419589281	257.6448042839765	552.5067705726251	5.102160582318902
sub-6363167	R	0.0	223.86564020439985	364.0892254794017	732.4223041534424	216.64632139913735	479.8415134567768	288.6535428510979	602.7463629981503	16.250619873404503
sub-7625176	L	3.7384098917245865	207.82984072808176	319.1238290863112	524.7125312313437	67.95895124599338	393.5439351834357	200.2719584852457	477.84889294579625	9.88008328527212
sub-7625176	R	0.0	211.90203721728176	278.7594926916063	648.8048514127731	183.7161432504654	395.1508792312816	284.6389051871374	548.182497413829	43.10138649400324
sub-9572797	L	6.089215862099081	190.7111890404485	239.48213644651696	155.19632628327236	218.0959711046889	226.37863982236013	204.7206770614721	308.4233133723028	2.698900687508285
sub-9572797	R	0.1955034066922962	269.46091493126005	267.539259494748	229.43040031706917	162.3536583185196	346.7896648417227	267.29607233032584	461.4691021819599	1.769067411776632
sub-8699817	L	1.9454942755401132	218.18146095983684	373.3918498540297	569.3765562730841	63.00445064390078	492.6344364923425	302.0093760676682	566.9113098504022	30.6701450496912
sub-8699817	R	0.0524520515464246	256.7003402682021	411.34806170035154	617.1699119685218	129.38967442838475	470.41860847827047	302.4528343216516	615.8061586283147	39.391490711364895
sub-8858912	L	3.809929638169706	295.6295590829104	406.0316878845915	513.6824657460675	93.70805663242936	408.6781346295029	392.789917415008	535.9555337559432	2.2983555514365435
sub-8858912	R	0.0047683725133538	322.0987949045375	453.6391190579161	554.0276655815542	135.50284171197563	390.6393814114854	391.02561958506703	607.2331660855561	8.807184032164514
sub-7777200	L	10.11850030720234	301.9051500707865	383.4015161171556	467.7779830992222	92.12031453102828	359.21629766374826	312.23345905542374	539.8138851448894	7.314693436026573
sub-7777200	R	0.1764300242066383	240.58379571139807	391.89876755326986	477.98231422901154	129.1658512353897	378.6855892539024	327.1537170484662	516.5251219496131	7.600796177983284
sub-8001042	L	3.271101627498865	323.1619526222348	258.07370595261455	360.4696773067117	67.7203867547214	433.7690566331148	261.05870539695024	465.7552807107568	9.77038955502212
sub-8001042	R	0.0	296.5401444789022	204.7728692293167	351.62911984696984	207.61004921235144	375.4089796375483	259.9047599248588	418.8917431086302	20.51352653279901
sub-9198294	L	5.82217658450827	299.2675058315508	252.92851152503863	310.3396549136378	74.30070068780333	359.2201890395954	123.77728073764592	401.95906596584246	7.972710277885199
sub-9198294	R	0.2813336760737002	205.27821618597957	308.0603753007017	375.1417677584104	160.7368963859044	364.5846023545601	184.47382925869897	403.6804465940222	20.956974683795124
sub-7307768	L	1.7452231468632815	261.3495504274033	360.71282893652096	560.3072291589342	78.4825895470567	468.6973190563731	271.37266259873286	530.6861193547957	7.534023420885205
sub-7307768	R	0.0	235.2951808250509	350.7612423039973	568.5231293831021	118.06482272222638	466.4561855071224	279.16894632857293	525.0975905894302	24.394977102056146
sub-8517582	L	6.637594632804394	299.1495236232877	369.0540762934834	444.6806933023036	110.416768187657	494.577094335109	246.91184459859505	520.3263838589191	5.331056608818471
sub-8517582	R	0.0047683869488537	202.642140165437	324.3361434871331	623.2758580846712	174.22255395026878	510.5082751312293	280.66248742258176	582.5156864458695	48.4992636567913
sub-6686191	L	5.62190625211224	270.7193431360647	304.49369596363977	518.8699990021996	117.89313840307295	422.7730722008273	274.61033168714494	486.0779300490394	19.941316324286163
sub-6686191	R	0.0	224.60445309011263	327.22450775653124	605.3872738438658	211.2387166824192	399.1219653217122	274.04766422510147	534.7582022524439	23.79415792878717
